Treatment Baskets for Chronic Disease List (CDL) conditions,,,,,,,,,,,,,,,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
AddisonÕs disease,,U & E only,,,,4171,,1,,U & E only,,4171,,3,,1,,,,
,,Creatinine,,,,4032 or,,1,,Creatinine,,4032 or,,3,,,,,,
,,,,,,4221 or,,,,,,4221 or,,,,,,,,
,,,,,,4223,,,,,,4223,,,,,,,,
,,Cortisol level,,,,4499,,1,,,,,,,,,,,,
,,ACTH stimulation testing,,,,4523,,1,,,,,,,,,,,,
Asthma,,Flow volume test,,,,1188 or,,1,,Flow volume test,,1188 or,,2,,2,,,,
,,,,,,1186,,,,,,1186,,,,,,,,
,,Peak flow,,,,1192,,1,,Peak flow,,1192,,3,,,,,,
Bipolar mood disorder,,AST Ð Aspartate aminotransferase,,,,4130,,1,,AST Ð Aspartate aminotransferase,,4130,,2,,2,,,,
,,ALT Ð Alanine aminotransferase,,,,4131,,1,,ALT Ð Alanine aminotransferase,,4131,,2,,,,,,
,,Creatinine,,,,4032 or,,1,,Creatinine,,4032 or,,2,,,,,,
,,,,,,4221 or,,,,,,4221 or,,,,,,,,
,,,,,,4223,,,,,,4223,,,,,,,,
,,CT Brain uncontrasted,,,,10300 or,,1,,Lithium Ð flame ionisation,,4067,,2,,,,,,
,,,,,,10310 or,,,,,,,,,,,,,,
,,,,,,10320,,,,,,,,,,,,,,
,,ECG Ð,,,,1232 or,,1,,Serum calcium,,4016 or,,1,,,,,,
,,Electrocardiogram,,,,1233 or,,,,,,4017 or,,,,,,,,
,,,,,,1234 or,,,,,,4375 or,,,,,,,,
,,,,,,1235 or,,,,,,4376,,,,,,,,
,,,,,,1236,,,,,,,,,,,,,,
,,EEG with special activation,,,,75113,,1,,,,,,,,,,,,
,,Full blood count (FBC),,,,3755,,1,,Full blood count (FBC),,3755,,1,,,,,,
,,Gamma glutamyl transferase (GGT),,,,4134,,1,,Gamma glutamyl transferase (GGT),,4134,,1,,,,,,
,,Glucose Ð,,,,4057,,1,,Glucose Ð,,4057,,1,,,,,,
,,random/fasting,,,,,,,,random/fasting,,,,,,,,,,
,,LDL Cholesterol,,,,4026,,1,,LDL Cholesterol,,4026,,1,,,,,,
,,HDL cholesterol,,,,4028,,1,,HDL cholesterol,,4028,,1,,,,,,
,,Triglycerides,,,,4147,,1,,Triglycerides,,4147,,1,,,,,,
,,Thyrotropin (TSH),,,,4507,,1,,Thyrotropin (TSH),,4507,,1,,,,,,
CONDITION,,DIAGNOSTIC BASKET,,,,,,,,ONGOING MANAGEMENT BASKET,,,,,,,,,,
,,PROCEDURE OR TEST DESCRIPTION,,,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,PROCEDURE OR TEST DESCRIPTION,,PROCEDURE OR TEST CODE,,NUMBER OF PROCEDURES OR TESTS WE COVER,,NUMBER OF SPECIALISTS WE COVER EACH YEAR,,,,
Bipolar mood disorder,,U & E only,,,,4171,,1,,U & E only,,4171,,2,,,,,,
,,Toxic drug screen,,,,4287 or,,1,,Toxic drug screen,,4287 or,,3,,,,,,
,,,,,,4370 or,,,,,,4370 or,,,,,,,,
,,,,,,4493,,,,,,4493,,,,,,,,
,,Syphilis testing (VDRL or THPA),,,,3940 or,,1,,,,,,,,,,,,
,,,,,,3949 or,,,,,,,,,,,,,,
,,,,,,3951,,,,,,,,,,,,,,
Bronchiectasis,,Sputum MC&S Ð sputum analysis for infection,,,,3867 &,,1,,Sputum MC&S Ð sputum analysis for infection,,3867 &,,4,,1,,,,
